Original_Title,Year_Of_Release,Runtime,Genres,Imdb_Rating,Imdb_Votes,Actors
Patel Ki Punjabi Shaadi,2017,120,Comedy,3.9,276,Rishi Kapoor|Paresh Rawal|Vir Das|Payal Ghosh|Divya Seth|Bharti Achrekar|Jinal Belani|Prem Chopra|Shilpa Shinde|Daya Shankar Pandey|Karanvir Bohra|Teejay Sidhu|
Newton,2017,106,Drama,7.7,13697,Rajkummar Rao|Pankaj Tripathi|Anjali Patil|Raghuvir Yadav|
The Final Exit,2017,119,Horror,6.2,40,Kunaal Roy Kapur|Mukesh Hariawala|Elena Kazan|Reyhna Malhotra|Ananya Sengupta|Archana Shastry|
Bhoomi,2017,136,Action|Drama,5.3,1519,Sunny Leone|Sanjay Dutt|Aditi Rao Hydari|Sharad Kelkar|Riddhi Sen|Shekhar Suman|Rahul Verma Rajput|Veer Aryan|Sakshi Dwivedi|Dolly Kaushik|Puru Chibber|Sidhant Gupta|Aarti Gupta|Govind Pandey|
Haseena Parkar,2017,135,Biography|Crime|Thriller,4.2,976,Shraddha Kapoor|Ankur Bhatia|Archana Gautam|Siddhant Kapoor|Uttam Halder|Charanpreet Singh|Rajesh Tailang|
J.D.,2017,127,Drama,6.5,13,Rina Charaniya|Arvind Gaur|Jasveer Kaur|Govind Namdev|Amar Singh|Vedita Pratap Singh|
Haraamkhor,2015,90,Drama|Romance,6.4,3144,Nawazuddin Siddiqui|Shweta Tripathi|Trimala Adhikari|Irfan Khan|Mohammad Samad|Harish Khanna|
Poster Boys,2017,128,Comedy,5.5,1272,Sunny Deol|Bobby Deol|Shreyas Talpade|Randheer Rai|
Mom,2017,146,Crime|Drama|Thriller,7.3,7355,Sridevi|Akshaye Khanna|Sajal Ali|Adnan Siddiqui|Abhimanyu Singh|Nawazuddin Siddiqui|Pitobash|Vikas Verma|Adarsh Gourav|Riva Arora|Yuvraj Singh Bajwa|
Chef,2017,133,Comedy|Drama|Family,5.7,1781,Saif Ali Khan|Padmapriya|Svar Kamble|Chandan Roy Sanyal|Dinesh P. Nair|Milind Soman|Sobhita Dhulipala|Ram Gopal Bajaj|Pawan Chopra|Avtaar Singh Sahani|Vikraman Nair|Ramachandran P.P.|M. Gopalakrishnan|Jayan Cherthala|
Ranchi Diaries,2017,93,Thriller,7.4,69,Soundarya Sharma|Pradeep Singh|Anupam Kher|Jimmy Sheirgill|Satish Kaushik|Himansh Kohli|Taaha Shah Badusha|
Babuji Ek Ticket Bambai,2017,0,Comedy|Drama,0,0,Sudha Chandran|Yashpal Sharma|
Rukh,2017,106,Drama|Mystery,6.4,383,Manoj Bajpayee|Smita Tambe|Adarsh Gourav|Subhrajyoti Barat|Ahsaas Channa|Bhushan Vikas|Sandesh Kulkarni|Pawan Singh|
Secret Superstar,2017,150,Drama|Music,7.9,17698,Zaira Wasim|Meher Vij|Raj Arjun|Aamir Khan|Tirth Sharma|Kabir Sajid|Farrukh Jaffar|Manuj Sharma|Nikita Anand|Shaan|Monali Thakur|Mona Ambegaonkar|Jasmeet Singh Bhatia|Dianne Commissariat|
The House Next Door,2017,137,Horror,6.8,1655,Prakash Belawadi|Khushi Hajare|Andrea Jeremiah|Atul Kulkarni|Avinash Raghudevan|Siddharth|Suresh|Anisha Victor|
Ribbon,2017,106,Drama|Family,6.9,444,Kalki Koechlin|Sumeet Vyas|
Shaadi Mein Zaroor Aana,2017,137,Drama|Family|Romance,7.6,10334,Rajkummar Rao|Kriti Kharbanda|K.K. Raina|Alka Amin|Vipin Sharma|Govind Namdev|Navni Parihar|Nayani Dixit|Manoj Pahwa|Neha d Bhriguvanshi|Karanvir Sharma|Abhijeet Singh|Ashish Kapoor|
Jia aur Jia,2017,93,Drama,4.6,140,Richa Chadha|Kalki Koechlin|Arslan Goni|
Qarib Qarib Singlle,2017,125,Comedy|Romance,7,4707,Irrfan Khan|Parvathy Thiruvothu|Bajrangbali Singh|
Aksar 2,2017,127,Crime|Drama|Mystery,3.7,363,Zareen Khan|Gautam Rode|Lillete Dubey|Mukesh Hariawala|Abhinav Shukla|Sofia Hayat|S. Sreesanth|
Panchlait,2017,0,Drama,8,45,Nayna Bandhopadhyay|Uma Basu|Punya Darshan Gupta|Ravi Jhankal|Brijendra Kala|Anuradha Mukherjee|Amitosh Nagpal|Pranay Narayan|Lalit Parimoo|Malini Sengupta|Rajesh Sharma|Yashpal Sharma|Iqbal Sultan|Punit Tiwari|
Tumhari Sulu,2017,150,Comedy|Drama,7,4027,Vidya Balan|Manav Kaul|Neha Dhupia|Vijay Maurya|Malishka Mendonsa|Abhishek Sharrma|Mahesh Pillai|Sindhu Shekharan|Seema Taneja|Ajoy Chakraborty|Mandeep Kumar|Ayushmann Khurrana|Santanu Ghatak|Trupti Khamkar|
Julie 2,2017,159,Drama|Romance,2.5,250,Nishikant Kamat|Raai Laxmi|Rati Agnihotri|Ravi Kishan|Pankaj Tripathi|
Dark wind,2017,95,Drama,8,565,Sanjay Mishra|Ranvir Shorey|Tillotama Shome|
Firangi,2017,158,Comedy|Drama,4.5,913,Kapil Sharma|Ishita Dutta|Monica Gill|Edward Sonnenblick|Kumud Mishra|Anjan Srivastav|Inaamulhaq|Rajesh Sharma|Jameel Khan|Jatinder Kaur|Vishal Om Prakash|Roshni Walia|Naisha Khanna|Sharan Makkar|
Fukrey Returns,2017,141,Comedy,6.5,4105,Pulkit Samrat|Manjot Singh|Ali Fazal|Varun Sharma|Priya Anand|Vishakha Singh|Pankaj Tripathi|Richa Chadha|
Monsoon Shootout,2013,92,Action|Crime|Drama,6.5,801,Vijay Varma|Nawazuddin Siddiqui|Neeraj Kabi|Geetanjali Thapa|Farhan Mohammad Hanif Shaikh|Tannishtha Chatterjee|Sreejita De|R. Balasubramaniam|Iravati Harshe|Omkar Das Manikpuri|Jayant Gadekar|Prithvi Zutshi|Surya Mohan Kulshreshtha|Niranjan N. Asrani|
Ajji,2017,104,Drama,7,602,Sushama Deshpande|Smita Tambe|Sharvani Suryavanshi|Abhishek Banerjee|Sadiya Siddiqui|Sudhir Pandey|Vikas Kumar|Manuj Sharma|
Chalk N Duster,2016,130,Drama,6.5,564,Richa Chadha|
Rebellious Flower,2016,109,Biography|Drama,6.8,230,Prince Shah|Shashank Singh|Mantra|Shaneel Sinha|
Shackle,2015,99,Drama,7.4,18,Tanima Bhattacharya|Chetan Sharma|Harish Hariaudh|Jagat Singh|Samarth Shandilya|
Airlift,2016,130,Drama|History,8,49498,Akshay Kumar|Nimrat Kaur|Kumud Mishra|Prakash Belawadi|Inaamulhaq|Lena|Nissar Khan|Ninad Kamat|Kaizaad Kotwal|Feryna Wazheir|Ajay Kumar|Purab Kohli|Gunjan Malhotra|Pooja Nair|
Sallu Ki Shaadi,2017,109,Romance,3.9,28,Zeenat Aman|Sandeep Anand|Asrani|Kashyap Barbhaya|Sandeep Bhadouria|Vishwa Bhanu|Gauhar Khan|Razak Khan|Kiran Kumar|Arshin Mehta|Vivek Modi|
Saala Khadoos,2016,109,Action|Drama|Sport,7.6,10507,Madhavan|Ritika Singh|Mumtaz Sorcar|Nassar|Radha Ravi|Zakir Hussain|Kaali Venkat|Baljinder Kaur|
Kyaa Kool Hain Hum 3,2016,124,Comedy,1.9,3899,Tusshar Kapoor|Aftab Shivdasani|Krishna Abhishek|Mandana Karimi|Shakti Kapoor|Darshan Jariwala|Sushmita Mukherjee|Meghna Naidu|Anand Vijay Kumar|Claudia Ciesla|Gizele Thakral|Danny Sura|Jimmy Moses|Gauhar Khan|
Mastizaade,2016,119,Comedy,2.3,2343,Tusshar Kapoor|Vir Das|Sunny Leone|Asrani|Shaad Randhawa|Suresh Menon|Sushmita Mukherjee|Riteish Deshmukh|Harshada Kulkarni|Rina Charaniya|Vivek Vaswani|Karan Dewani|Kurush Deboo|Munish Makhija|
Dil Jo Na Keh Saka,2017,130,Romance,7,77,Himansh Kohli|Priya Banerjee|Bhuvnesh Mam|
Jugni,2016,115,Drama,6.2,126,Sadhana Singh|Sugandha Garg|Anurita Jha|Chandan Gill|Divya Unny|Samir Sharma|Davinder Daman|Jaswant Daman|Kartick Sitaraman|
Ghayal Once Again,2016,127,Action|Drama,6.4,4707,Sunny Deol|Soha Ali Khan|Om Puri|Aanchal Munjal|Narendra Jha|Manoj Joshi|Ramesh Deo|Tisca Chopra|Harsh Chhaya|Nadira Babbar|Rishabh Arora|Ruhanika Dhawan|Zakir Hussain|Sebastien Vandenberghe|
Fitoor,2016,131,Drama|Romance,5.4,3991,Aditya Roy Kapoor|Katrina Kaif|Tabu|Rahul Bhat|Lara Dutta|
Sanam Re,2016,120,Drama|Romance,3.1,2622,Rishi Kapoor|Pulkit Samrat|Yami Gautam|Urvashi Rautela|Neel Tyagi|Delissa Mehra|Navya|Devansh Sharma|Anita Khosla|Prachee Shah Paandya|Ashish Kaul|Dayal|Shashwita Sharma|S.K. Batra|
Direct Ishq,2016,130,Action|Comedy|Romance,4,62,Rajniesh Duggall|Nidhi Subbaiah|Arjun Bijlani|Rajesh Shringarpure|
Ishq Forever,2016,125,Romance,3.8,89,Krishna Chaturvedi|Ruhi Singh|Javed Jaffrey|Lisa Ray|
LoveShhuda,2016,133,Comedy|Romance,4.4,511,Girish Taurani|Navneet Kaur Dhillon|Tisca Chopra|Naveen Kasturia|Sachin Khedekar|Benaf Dadachandji|Yash Pandit|
Neerja,2016,122,Biography|Drama|Thriller,7.7,19046,Sonam Kapoor|Shabana Azmi|Yogendra Tiku|Abrar Zahoor|Jim Sarbh|Ali Baldiwala|Vikrant Singta|Parthaa Akerkar|Madhu Anand Chandhock|
Aligarh,2015,114,Biography|Drama,7.8,4873,Sukhesh Arora|Manoj Bajpayee|Balaji Gauri|Sumit Gulati|Dilnaz Irani|Sachin Parikh|K.R. Parmeshwar|Rajkummar Rao|Naval Shukla|Ishwak Singh|Nutan Surya|Divya Unny|Suman Vaidya|
Bollywood Diaries,2016,123,Drama,6,233,Raima Sen|Salim Diwan|Ashish Vidyarthi|Karuna Pandey|Viineet Kumar|Robin Das|
Love Shagun,2016,120,Comedy|Romance,5.8,91,Anuj Sachdeva|Nidhi Subbaiah|Manit Joura|Simpy Singh|Shamin Mannan|Vikram Kochhar|Taran Bajaj|Jameel Khan|Jaswinder Kaur|Rajat Ganguly|Swastika Chakraborty|Anurag Sharma|Saandesh Nayak|Ravi Khemu|
Tere Bin Laden: Dead Or Alive,2016,104,Comedy,4.3,771,Parthaa Akerkar|Krishna Bansal|Vikrant Chaturvedi|Iman Crosson|Sugandha Garg|Kunal Gupta|Noel Jacobson|Rohan Khatri|Sikander Kher|Birbal Khosla|Vaibhav Mathur|Piyush Mishra|Jiten Mukhi|Bachan Pachehra|
Jai Gangaajal,2016,149,Crime|Drama,5.6,2308,Priyanka Chopra|Prakash Jha|Manav Kaul|Ninad Kamat|Rahul Bhat|Kiran Karmarkar|Murli Sharma|Ayush Mahesh Khedekar|Jagat Singh|Vega Tamotia|Shakti Kumar|Indraneel Bhattacharya|Ravi Khanvilkar|Ankush Bali|
Kapoor & Sons,2016,132,Comedy|Drama|Romance,7.7,20586,Sidharth Malhotra|Fawad Khan|Alia Bhatt|Rajat Kapoor|Rishi Kapoor|Anahita Oberoi|Vikram Kapadia|Pradeep Pradhan|Fahim Shaikh|Niti Apurva Patel|Aalekh Kapoor|Sukant Goel|Ratna Pathak Shah|Aditya Gunavanthe|
Rocky Handsome,2016,119,Action|Thriller,6.8,6582,John Abraham|Nishikant Kamat|Sharad Kelkar|Teddy Maurya|Diya Chalwad|Kazu Patrick Tang|Shruti Haasan|Prashanti Talpankar|Nathalia Kaur|Paromita Chatterjee|Akanksha Awasthi|Viren Vajpayee|Vansh Sanghani|Jayant Sawarkar|
Love Games,2016,114,Thriller,4.3,744,Patralekhaa Paul|Tara-Alisha Berry|Gaurav Arora|Hiten Tejwani|Rukhsar Rehman|Dinesh Chaturvedi|Vishnu Sharma|Rinki Singhvi|Anant Kumar|Umar Sharif|Alisha Farrer|B.K. Tiwari|Paras Thakral|Ajay Kumar Singh|
Fan,2016,138,Action|Drama|Thriller,7.1,39877,Shah Rukh Khan|Sayani Gupta|Carolina Main|Shriya Pilgaonkar|Vaunisha Kapoor|Atul Sharma|Manoj Anand|Zachary Coffin|Puja Panchkoty|Deepika Amin|Glenn Webster|Halima Nagori|Abdul Hakim Joy|Paul Blackwell|
Nil Battey Sannata,2015,100,Drama|Family,8.4,4530,Swara Bhaskar|Ratna Pathak Shah|Riya Shukla|Pankaj Tripathi|Neha Prajapati|Prashant Tiwari|Vishal Nath|Ganesh Kumar|
Laal Rang,2016,147,Action|Crime|Drama,8,3741,Randeep Hooda|Akshay Oberoi|Rajniesh Duggall|Piaa Bajpai|Meenakshi Dixit|Rajendra Sethi|Kumar Saurabh|Jai Hind Kumar|
Baaghi,2016,133,Action|Thriller,5.2,6088,Shraddha Kapoor|Tiger Shroff|Sudheer Babu Posani|Paras Arora|
Global Baba,2016,120,Thriller,5.6,163,Pankaj Tripathi|Sandeepa Dhar|Ravi Kishan|Abhimanyu Singh|Leena Balodi|Vishwa Bhanu|
Shortcut Safari,2016,101,Adventure|Drama|Mystery,6.1,40,Jimmy Sheirgill|
The Blueberry Hunt,2016,110,Action|Thriller,5.7,186,Kartik Elangovan|Vinay Forrt|Aahana Kumra|P.T. Manoj|Yadu Sankalia|Naseeruddin Shah|Vipin Sharma|Sridevi|Tippu|
Santa Banta Pvt Ltd,2016,112,Comedy|Crime|Drama,2.9,193,Boman Irani|Vir Das|Neha Dhupia|Lisa Haydon|Ram Kapoor|Johnny Lever|Vijay Raaz|Tinnu Anand|Sanjay Mishra|Ayub Khan|Vrajesh Hirjee|Vijay Patkar|Sonu Nigam|Ranjeet|
Traffic,2016,104,Adventure|Drama|Thriller,6.7,2317,Manoj Bajpayee|Jimmy Sheirgill|Divya Dutta|Prasenjit Chatterjee|Parambrata Chattopadhyay|Sachin Khedekar|Vikram Gokhale|Kitu Gidwani|Amol Parashar|Nikita Thukral|Richa Panai|Vishal Singh|Divya Unny|Jishnu|
1920 London,2016,120,Horror|Mystery,4.1,1373,Sharman Joshi|Meera Chopra|Vishal Karwal|Surendra Pal|Charu Rohatgi|Sushmita Mukherjee|Siraj Mustafa|Jalpa Bhatt|Jagat Rawat|Vishal Malhotra|Dinesh Mehta|Kamal Adib|Jyoti Chudasma|Mansi|
Azhar,2016,130,Biography|Drama|Sport,5.8,4887,Emraan Hashmi|Nargis Fakhri|Prachi Desai|Lara Dutta|Kunaal Roy Kapur|Gautam Gulati|Sammy John Heaney|Mohit Chhabra|Anikie Maguire|Kulbhushan Kharbanda|Rajesh Sharma|Hemant Chaudhary|Shernaz Patel|Virendra Saxena|
Buddha in a Traffic Jam,2016,114,Crime|Thriller,6.8,1867,Aanchal Dwivedi|Mahie Gill|Pallavi Joshi|Anupam Kher|Arunoday Singh|Gopal K. Singh|
Murari the Mad Gentleman,2016,0,Comedy|Drama,5.8,6,Sanjay Singh|Asrani|Natalya Llina|Surendra Rajan|Kirran Sharad|Yajuvendra Singh|Amitabh Acharya|
Dear Dad,2016,95,Drama|Family,6.5,277,Arvind Swamy|Ekavali Khanna|Himanshu Sharma|Bhavika Bhasin|
Phobia,2016,112,Drama|Mystery|Thriller,6.9,2402,Radhika Apte|Amrita Bagchi|Nivedita Bhattacharya|Yashaswini Dayama|Satyadeep Misra|Arush Nand|
Sarbjit,2016,131,Biography|Drama,7.2,3778,Randeep Hooda|Aishwarya Rai Bachchan|Richa Chadha|Darshan Kumaar|Shiwani Saini|Ankita Shrivastav|Ankur Bhatia|Arbaaz Ali Khan|
Veerappan,2016,125,Action|Biography|Crime,5.3,590,Sachiin Joshi|Sandeep Bharadwaj|Usha Jadhav|Nissar Khan|
Do Lafzon Ki Kahani,2016,128,Action|Drama|Romance,6.4,1201,Kajal Aggarwal|Anil George|Randeep Hooda|Snehal Kulshreshtha|Mamik Singh|
Te3n,2016,136,Drama|Mystery|Thriller,7.2,10451,Amitabh Bachchan|Nawazuddin Siddiqui|Vidya Balan|Mukesh Chhabra|Aarnaa Sharma|Prakash Belawadi|Sabyasachi Chakrabarty|Suneel Sinha|Padmavati Rao|Tota Roy Chowdhury|Paritosh Sand|Anupam Bhattacharya|Sumit Samaddar|Madhumita Sen|
Udta Punjab,2016,148,Action|Crime|Drama,7.8,23995,Shahid Kapoor|Alia Bhatt|Kareena Kapoor|Diljit Dosanjh|Satish Kaushik|Manav Vij|Vansh Bhardwaj|Suhail Nayyar|Prabhjyot Singh|Rajesh Kumar Sharma|Kamal Tiwari|Mahabir Bhullar|Suvinder Vicky|Dilawar Sidhu|
khel toh ab shuru hoga,2016,130,Action|Thriller,0,0,Hazel Croney|Devshi Khanduri|Ruslaan Mumtaz|
Luv U Alia,2015,130,Family|Romance,5.3,77,V. Ravichandran|Chandan Kumar|Sudeep|P. Ravi Shankar|Sadhu Kokila|Srujan Lokesh|Sunny Leone|Sammir Dattani|Sudharani|Nikesha Patel|Bullet Prakash|Shakeela|
7 Hours to Go,2016,115,Crime|Thriller,5.7,357,Vipin Sharma|Sandeepa Dhar|Aakash Dabhade|Shiv Panditt|Varun Badola|Ananya Sengupta|Natasa Stankovic|Himanshu Malik|Kettan Singh|Ankur Jain|Rohit Vir|Gyan Gautam|Zeenal Kamdar|
Raman Raghav 2.0,2016,133,Crime|Drama|Thriller,7.3,11202,Nawazuddin Siddiqui|Vicky Kaushal|Sobhita Dhulipala|Mukesh Chhabra|Anuschka Sawhney|Vipin Sharma|Deepali Suryakant Badekar|Ashok Lokhande|Harssh Singh|Rajesh Jais|Hitesh Dave|
Junooniyat,2016,155,Drama|Romance,4.2,610,Pulkit Samrat|Yami Gautam|Gulshan Devaiah|Hrishitaa Bhatt|S. Poonam Kaur|Aneesha Joshi|Herry Tangiri|Khushboo Upadhyay|Sanjay Mehandiratta|Charu Rohatgi|Shakeel Khan|Ravi Khemu|Anoop Kamal Singh|Madhuri D. Bandiwedkar|
Rough Book,2016,100,Drama,7.3,146,Tannishtha Chatterjee|Mukesh Hariawala|Amaan f Khan|Kaizaad Kotwal|Joy Sengupta|Jayati Bhatia|Jayesh Bhatia|Deepika Amin|Vinay Jain|Ram Kapoor|
Dhanak,2015,106,Drama,8,3114,Krrish Chhabria|Hetal Gada|Vipin Sharma|Gulfam Khan|Idhant Singh|Swastik Ram Chavan|Narendar Singh Rajpurohit|Vincent Daniel|Harmeet Arora|Sanjana Singh|Rajiv Laxman|Rishi Deshpande|Vijay Maurya|Pratyaksh Kalra|
Fredrick,2016,129,Action|Thriller,5,12,Avinash Dhyani|Prashant Narayanan|Tulna Butalia|
Dil Toh Deewana Hai,2016,135,Drama|Romance,7.1,16,Zeenat Aman|Raj Babbar|Meenu Bhardwaj|Raja Bundela|Shweta Giri|Haider Khan|Hyder Khan|Mobin Khan|Mohsin Khan|Sushmita Mukherjee|Alok Nath|Hemant Pandey|
Sultan,2016,170,Action|Drama|Sport,7,34328,Salman Khan|Anushka Sharma|Kubbra Sait|Marko Zaror|Randeep Hooda|Hans Marrero|Tyron Woodley|Björn Freiberg|Amit Sadh|Ron Smoorenburg|Kabir Khan|Parikshat Sahni|Marrese Crump|Kumud Mishra|
Brahman Naman,2016,95,Comedy,5.6,1575,Shashank Arora|Tanmay Dhanania|Chaitanya Varad|Vaishwath Shankar|Sindhu Sreenivasa Murthy|Subholina Sen|Anula Navlekar|Sid Mallya|Denzil Smith|Biswa Kalyan Rath|Shataf Figar|Kartik Iyer|Anisa Butt|Amrusha Palchaudhuri|
Great Grand Masti,2016,134,Comedy|Drama|Fantasy,3.7,2020,Urvashi Rautela|Riteish Deshmukh|Vivek Oberoi|Aftab Shivdasani|Puja Bose|Mishti|Shradha Das|Usha Nadkarni|Kangna Sharma|Ketan Karande|Sanjay Mishra|Bhadra Parekh|Vijay Gupta|Farzil Pardiwalla|
Waiting,2015,92,Drama,7.2,1492,Naseeruddin Shah|Kalki Koechlin|
Ishq Click,2016,165,Drama|Romance,4.4,83,Sara Loren|Adhyayan Suman|Aaryansh Arora|Sanskkriti Jain|Sanjay Gurbaxani|Narendra Jetley|
M Cream,2014,112,Adventure|Comedy|Drama,5.7,590,Tom Alter|Raaghav Chanana|Ira Dubey|Lushin Dubey|Auritra Ghosh|Rahil Gilani|Barry John|Santosh Ojha|Beatrice Ordeix|Lili Rocha|Imaaduddin Shah|
Madaari,2016,133,Adventure|Drama|Thriller,7.5,11411,Irrfan Khan|Jimmy Sheirgill|Vishesh Bansal|Tushar Dalvi|Nitish Pandey|
Dishoom,2016,124,Action|Adventure|Comedy,5.1,5976,John Abraham|Varun Dhawan|Nargis Fakhri|Jacqueline Fernandez|Rahul Dev|Satish Kaushik|Saqib Saleem|Vijay Raaz|Akshay Kumar|Akshaye Khanna|Rashmi Nigam|Tarun Khanna|Parineeti Chopra|Tirth|
Fever,2016,123,Crime|Mystery,4.7,572,Rajeev Khandelwal|Gauhar Khan|Gemma Atkinson|Ankita Makwana|Caterina Murino|Victor Banerjee|
Rustom,2016,148,Crime|Drama|Thriller,7.1,20764,Ileana D'Cruz|Akshay Kumar|Manoj Bajpayee|Sharad Kelkar|Esha Gupta|Arjan Bajwa|Hiten Patel|Sachin Khedekar|Kumud Mishra|Pavan Malhotra|Ty Hurley|Brijendra Kala|Parmeet Sethi|Kanwaljit Singh|
Hai Apna Dil Toh Awara,2016,120,Comedy,6.4,17,Sahil Anand|Niyati Joshi|Vikram Kochhar|Divvya Chouksey|Nilesh Lalwani|Jayaka Yagnik|Herry Tangiri|Sareh Far|
Mohenjo Daro,2016,155,Action|Adventure|Drama,5.7,9764,Hrithik Roshan|Pooja Hegde|Kabir Bedi|Arunoday Singh|Suhasini Mulay|Nitish Bharadwaj|Kishori Shahane|Sharad Kelkar|Manish Chaudhary|Narendra Jha|Shaji Chaudhary|Tufail Khan Rigoo|Diganta Hazarika|Naina Trivedi|
Happy Bhag Jayegi,2016,126,Comedy|Romance,6.4,4633,Diana Penty|Abhay Deol|Jimmy Sheirgill|Ali Fazal|
Warrior Savitri,2016,136,Action|Thriller,5,270,Niharica Raizada|Rajat Barmecha|Lucy Pinder|Tim Man|Om Puri|Gulshan Grover|Ron Smoorenburg|Aditya Raj|Karamveer Choudhary|Sheetal Khandal|Palak J. Jhaveri|
A Flying Jatt,2016,151,Action|Adventure|Comedy,3.2,3165,Tiger Shroff|Jacqueline Fernandez|Nathan Jones|Kay Kay Menon|Mukesh Hariawala|Amrita Singh|Gaurav Pandey|Shraddha Kapoor|Amrita Puri|
Baar Baar Dekho,2016,141,Comedy|Drama|Romance,5.3,5608,Sidharth Malhotra|Katrina Kaif|Sayani Gupta|
Freaky Ali,2016,120,Comedy|Sport,4.9,2373,Nawazuddin Siddiqui|Arbaaz Khan|Amy Jackson|Asif Basra|
Raaz Reboot,2016,128,Horror|Mystery|Romance,4.5,1543,Emraan Hashmi|Kriti Kharbanda|Suzanna Mukherjee|Gaurav Arora|Ashwath Bhatt|Hargun Grover|Trupti Agarwal|
Pink,2016,136,Drama|Thriller,8.2,33902,Taapsee Pannu|Amitabh Bachchan|Kirti Kulhari|Andrea Tariang|Piyush Mishra|Angad Bedi|Vijay Varma|Raashul Tandon|Tushar Pandey|Dhritiman Chatterjee|Mamata Shankar|
Parched,2015,116,Drama,7.6,4287,Tannishtha Chatterjee|Radhika Apte|Lehar Khan|Surveen Chawla|Dinesh Pradhan|Farrukh Jaffar|Kanwar Jagdish|Riddhi Sen|Tarun Jasor|Praveen Choudhary|Prince Gehlot|Nancy Nisa Beso|Anuradha Adwani|Sumeet Vyas|
Banjo,2016,137,Action|Drama|Music,5,923,Riteish Deshmukh|Nargis Fakhri|Aditya Kumar|Ram Menon|Dharmesh Yelande|Uday Sabnis|Janardhan Parab|Luke Kenny|Sheeba George|
Days of Tafree,2016,155,Comedy,7.4,221,Yash Soni|
Wah Taj,2016,125,Drama,6.1,72,Shreyas Talpade|Manjari Fadnnis|
Island City,2015,108,Drama,6.8,291,Vinay Pathak|Amruta Subhash|Tannishtha Chatterjee|Chandan Roy Sanyal|Sameer Kochhar|Sana Sheikh|Uttara Baokar|Ashwin Mushran|Mithun Rodwittiya|Bhushan Vikas|Naman Banthia|Jaswinder Singh|Jyoti Subhash|Mukul Chadda|
Ek Kahani Julie Ki,2016,119,Drama,0,0,Jimmy Sharma|
M.S. Dhoni: The Untold Story,2016,184,Biography|Drama|Sport,7.7,29352,Sushant Singh Rajput|Kiara Advani|Anupam Kher|Disha Patani|Bhoomika Chawla|Sanjay Dadich|Kali Prasad Mukherjee|Zeeshaan|Mithu Chakraborty|Kranti Prakash Jha|Ashrut Jain|Brijendra Kala|Mukesh Bhatt|Jitin Gulati|
MSG the Warrior: Lion Heart,2016,120,Adventure|Fantasy|Sci-Fi,6.9,7323,Ashok Insan|Bhushan Insan|Charanpreet Insan|Garima Insan|Honeypreet Insan|Kainaat Insan|Rajesh Insan|Sukhottam Insan|
Tutak Tutak Tutiya,2016,138,Comedy|Horror,5.4,658,RJ Balaji|Tamannaah Bhatia|Prabhu Deva|Karishma Gulati|Esha Gupta|Hema|Farah Khan|Ravi Khanna|R.V. Udhaya Kumar|Joy Mathew|Sapthagiri|Murli Sharma|Kanwalpreet Singh|Sonu Sood|
Motu Patlu: King of Kings,2016,110,Adventure|Comedy,7.5,94,Saurav Chakraborty|
Anna,2016,142,Biography,4.9,38,Shashank Udapurkar|Tanishaa Mukerji|Govind Namdeo|Rajit Kapoor|Sharat Saxena|Daya Shankar Pandey|Atul Srivastava|Anant Jog|Arif Zakaria|Kishore Kadam|
Fuddu,2016,100,Comedy|Drama,5.5,132,Shubham|Swati Kapoor|Uday Tikekar|Shalini Arora|Paritosh Sand|Sarika Singh|Vicky Ahuja|Shivani Gosain|Hemant Dhome|Anushkaa Singh|Pradeep Gupta|Khurshed Lawyer|Pawan Shharma|
Saat Uchakkey,2016,139,Comedy,5.7,586,Manoj Bajpayee|Vijay Raaz|Aditi Sharma|Annu Kapoor|Jatin Sarna|Vipul Vig|Aparshakti Khurana|Kay Kay Menon|Lushin Dubey|Kali Prasad Mukherjee|Brijesh Karanwal|Anjor Sharma|Sunita Shirole|Ashok Pathak|
Beiimaan Love,2016,120,Drama|Romance|Thriller,2.9,354,Sunny Leone|Rajniesh Duggall|Daniel Weber|Rajeev Verma|
Umrika,2015,98,Comedy|Drama,6.6,1034,Aashish Bhatt|Uplaksh Kochhar|Megh Pant|Mayur More|Pankaj Chaudhary|Mukesh Agrohari|Pramod Pathak|Shreyas Pandit|Rajesh Singh|Mandar Shende|Ayussh Ashwani K. Verma|Tony Revolori|Shrikant Yadav|Shruti Bapna|
Shivaay,2016,153,Action|Drama|Thriller,6.2,9161,Ajay Devgn|Abigail Eames|Erika Kaar|Sayyeshaa Saigal|Vir Das|Girish Karnad|Saurabh Shukla|Sandeep Shrivastava|Amit Behl|Vikas Shorey|Pratik Khattar|Aakash Dabhade|Bijou Thaangjam|Ambika Oli|
Dongri Ka Raja,2016,139,Action|Drama|Romance,4,135,Ronit Roy|Ashmit Patel|Gashmeer Mahajani|Reecha Sinha|
Ae Dil Hai Mushkil,2016,158,Drama|Music|Musical,5.8,18998,Ranbir Kapoor|Aishwarya Rai Bachchan|Anushka Sharma|Fawad Khan|Lisa Haydon|Imran Abbas|Pooja Mehta|Cru Fox|Jamil Ahmed|Phyl Cashman|Timea Gazdag|Yohan Contractor|Byron|Yolita|
Tum Bin 2,2016,147,Drama|Romance,4.8,1028,Neha Sharma|Aditya Seal|Aashim Gulati|Mouni Roy|Meher Vij|Sonia Balani|Kanwaljit Singh|Jaspreet Singh|Alishah Ahmad|Emma Sarah Richardson|Stephanie Payne|Edward York|Nicola Jane Macdonald|Harry Verma|
